time	angle	speed	accelerator position
130.91	-0.6	56.2375	8
130.92	-0.5	56.2375	8
130.93	-0.4	56.30625	8
130.94	-0.4	56.30625	8
130.95	-0.3	56.30625	8
130.96	-0.2	56.30625	8
130.97	-0.2	56.2375	8
130.98	-0.1	56.2375	8
130.99	-0.1	56.16875	8
131.00	-0.1	56.16875	8
131.01	-0.1	56.16875	8
131.02	-0.1	56.16875	8
131.03	-0.1	56.30625	8
131.04	-0.1	56.30625	8
131.05	-0.1	56.375	8
131.06	-0.1	56.375	8
131.07	-0.1	56.375	8
131.08	-0.1	56.375	8
131.09	-0.1	56.375	8
131.10	-0.1	56.375	8
131.11	-0.1	56.375	8
131.12	-0.1	56.375	8
131.13	-0.1	56.30625	8
131.14	-0.1	56.30625	8
131.15	-0.1	56.30625	8
131.16	-0.1	56.30625	8
131.17	0	56.375	8
131.18	0	56.375	8
131.19	0.1	56.5125	8
131.20	0.2	56.5125	8
131.21	0.3	56.5125	8
131.22	0.4	56.5125	8
131.23	0.5	56.5125	8
131.24	0.7	56.5125	8
131.25	0.8	56.44375	8
131.26	1	56.44375	8
131.27	1.1	56.30625	8
131.28	1.2	56.30625	8
131.29	1.2	56.30625	8
131.30	1.3	56.30625	8
131.31	1.3	56.44375	8
131.32	1.3	56.44375	8
131.33	1.3	56.58125	8
131.34	1.3	56.58125	8
131.35	1.3	56.58125	8
131.36	1.3	56.58125	8
131.37	1.3	56.5125	8
131.38	1.3	56.5125	8
131.39	1.3	56.30625	8
131.40	1.3	56.30625	8
131.41	1.4	56.30625	2
131.42	1.5	56.30625	2
131.43	1.6	56.30625	2
131.44	1.7	56.30625	2
131.45	1.8	56.44375	2
131.46	1.9	56.44375	2
131.47	2	56.58125	2
131.48	2.1	56.58125	2
131.49	2.2	56.58125	2
131.50	2.2	56.58125	2
131.51	2.2	56.58125	1
131.52	2.2	56.58125	1
131.53	2.2	56.5125	1
131.54	2.2	56.5125	1
131.55	2.2	56.44375	1
131.56	2.2	56.44375	1
131.57	2.2	56.375	1
131.58	2.2	56.375	1
131.59	2.2	56.5125	1
131.60	2.2	56.5125	1
131.61	2.2	56.58125	0
131.62	2.2	56.58125	0
131.63	2.1	56.44375	0
131.64	1.9	56.44375	0
131.65	1.8	56.1	0
131.66	1.7	56.1	0
